financial_year,council_area,sector,main_client_group,number_of_places
2016/17,East Dunbartonshire,All Sectors,Physical and Sensory Impairment,22
2016/17,East Dunbartonshire,Local Authority/Health Board Sectors,All Adults,11
2016/17,East Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2016/17,East Dunbartonshire,Private Sector,All Adults,828
2016/17,East Dunbartonshire,Private Sector,Older People Aged 65 and Older,738
2016/17,East Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,12
2016/17,East Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,2
2016/17,East Lothian,All Sectors,All Adults,646
2016/17,East Lothian,All Sectors,Learning Disabilities,7
2016/17,East Lothian,All Sectors,Mental Health Problems,0
2016/17,East Lothian,All Sectors,Older People Aged 65 and Older,616
2016/17,East Lothian,All Sectors,Other Groups,0
2016/17,East Lothian,All Sectors,Physical and Sensory Impairment,23
2016/17,East Lothian,Local Authority/Health Board Sectors,All Adults,123
2016/17,East Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,123
2016/17,East Lothian,Private Sector,All Adults,463
2016/17,East Lothian,Private Sector,Older People Aged 65 and Older,456
2016/17,East Lothian,Voluntary or Not for Profit Sector,All Adults,60
2016/17,East Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,37
2016/17,East Renfrewshire,All Sectors,All Adults,823
2016/17,East Renfrewshire,All Sectors,Learning Disabilities,10
2016/17,East Renfrewshire,All Sectors,Mental Health Problems,0
2016/17,East Renfrewshire,All Sectors,Older People Aged 65 and Older,813
2016/17,East Renfrewshire,All Sectors,Other Groups,0
2016/17,East Renfrewshire,All Sectors,Physical and Sensory Impairment,0
2016/17,East Renfrewshire,Local Authority/Health Board Sectors,All Adults,34
2016/17,East Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,34
2016/17,East Renfrewshire,Private Sector,All Adults,628
2016/17,East Renfrewshire,Private Sector,Older People Aged 65 and Older,628
2016/17,East Renfrewshire,Voluntary or Not for Profit Sector,All Adults,161
2016/17,East Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,151
2016/17,Falkirk,All Sectors,All Adults,1143
2016/17,Falkirk,All Sectors,Learning Disabilities,118
2016/17,Falkirk,All Sectors,Mental Health Problems,23
2016/17,Falkirk,All Sectors,Older People Aged 65 and Older,1002
2016/17,Falkirk,All Sectors,Other Groups,0
2016/17,Falkirk,All Sectors,Physical and Sensory Impairment,0
2016/17,Falkirk,Local Authority/Health Board Sectors,All Adults,148
2016/17,Falkirk,Local Authority/Health Board Sectors,Older People Aged 65 and Older,132
2016/17,Falkirk,Private Sector,All Adults,914
2016/17,Falkirk,Private Sector,Older People Aged 65 and Older,810
2016/17,Falkirk,Voluntary or Not for Profit Sector,All Adults,81
2016/17,Falkirk,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,60
2016/17,Fife,All Sectors,All Adults,3117
2016/17,Fife,All Sectors,Learning Disabilities,62
2016/17,Fife,All Sectors,Mental Health Problems,32
2016/17,Fife,All Sectors,Older People Aged 65 and Older,2998
2016/17,Fife,All Sectors,Other Groups,0
2016/17,Fife,All Sectors,Physical and Sensory Impairment,25
2016/17,Fife,Local Authority/Health Board Sectors,All Adults,363
2016/17,Fife,Local Authority/Health Board Sectors,Older People Aged 65 and Older,349
2016/17,Fife,Private Sector,All Adults,2635
2016/17,Fife,Private Sector,Older People Aged 65 and Older,2556
2016/17,Fife,Voluntary or Not for Profit Sector,All Adults,119
2016/17,Fife,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,93
2016/17,Glasgow City,All Sectors,All Adults,4710
2016/17,Glasgow City,All Sectors,Learning Disabilities,60
2016/17,Glasgow City,All Sectors,Mental Health Problems,265
2016/17,Glasgow City,All Sectors,Older People Aged 65 and Older,4147
2016/17,Glasgow City,All Sectors,Other Groups,170
2016/17,Glasgow City,All Sectors,Physical and Sensory Impairment,68
2016/17,Glasgow City,Local Authority/Health Board Sectors,All Adults,567
2016/17,Glasgow City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,567
2016/17,Glasgow City,Private Sector,All Adults,3304
2016/17,Glasgow City,Private Sector,Older People Aged 65 and Older,3218
2016/17,Glasgow City,Voluntary or Not for Profit Sector,All Adults,839
2016/17,Glasgow City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,362
2016/17,Highland,All Sectors,All Adults,1957
2016/17,Highland,All Sectors,Learning Disabilities,113
2016/17,Highland,All Sectors,Mental Health Problems,91
2016/17,Highland,All Sectors,Older People Aged 65 and Older,1679
2016/17,Highland,All Sectors,Other Groups,15
2016/17,Highland,All Sectors,Physical and Sensory Impairment,59
2016/17,Highland,Local Authority/Health Board Sectors,All Adults,226
2016/17,Highland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,214
2016/17,Highland,Private Sector,All Adults,1455
2016/17,Highland,Private Sector,Older People Aged 65 and Older,1252
2016/17,Highland,Voluntary or Not for Profit Sector,All Adults,276
2016/17,Highland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,213
2016/17,Inverclyde,All Sectors,All Adults,875
2016/17,Inverclyde,All Sectors,Learning Disabilities,45
2016/17,Inverclyde,All Sectors,Mental Health Problems,9
2016/17,Inverclyde,All Sectors,Older People Aged 65 and Older,760
2016/17,Inverclyde,All Sectors,Other Groups,0
2016/17,Inverclyde,All Sectors,Physical and Sensory Impairment,61
2016/17,Inverclyde,Local Authority/Health Board Sectors,All Adults,4
2016/17,Inverclyde,Local Authority/Health Board Sectors,Older People Aged 65 and Older,4
2016/17,Inverclyde,Private Sector,All Adults,561
2016/17,Inverclyde,Private Sector,Older People Aged 65 and Older,561
2016/17,Inverclyde,Voluntary or Not for Profit Sector,All Adults,310
2016/17,Inverclyde,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,195
2016/17,Midlothian,All Sectors,All Adults,582
2016/17,Midlothian,All Sectors,Learning Disabilities,24
2016/17,Midlothian,All Sectors,Mental Health Problems,0
2016/17,Midlothian,All Sectors,Older People Aged 65 and Older,558
2016/17,Midlothian,All Sectors,Other Groups,0
2016/17,Midlothian,All Sectors,Physical and Sensory Impairment,0
2016/17,Midlothian,Local Authority/Health Board Sectors,All Adults,102
2016/17,Midlothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,102
2016/17,Midlothian,Private Sector,All Adults,416
2016/17,Midlothian,Private Sector,Older People Aged 65 and Older,408
2016/17,Midlothian,Voluntary or Not for Profit Sector,All Adults,64
2016/17,Midlothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,48
2016/17,Moray,All Sectors,All Adults,632
2016/17,Moray,All Sectors,Learning Disabilities,31
2016/17,Moray,All Sectors,Mental Health Problems,5
2016/17,Moray,All Sectors,Older People Aged 65 and Older,592
2016/17,Moray,All Sectors,Other Groups,0
2016/17,Moray,All Sectors,Physical and Sensory Impairment,4
2016/17,Moray,Local Authority/Health Board Sectors,All Adults,13
2016/17,Moray,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2016/17,Moray,Private Sector,All Adults,539
2016/17,Moray,Private Sector,Older People Aged 65 and Older,539
2016/17,Moray,Voluntary or Not for Profit Sector,All Adults,80
2016/17,Moray,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,53
2016/17,Na h-Eileanan Siar,All Sectors,All Adults,228
2016/17,Na h-Eileanan Siar,All Sectors,Learning Disabilities,12
2016/17,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2016/17,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,216
2016/17,Na h-Eileanan Siar,All Sectors,Other Groups,0
2016/17,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2016/17,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,139
2016/17,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,127
2016/17,Na h-Eileanan Siar,Private Sector,All Adults,40
2016/17,Na h-Eileanan Siar,Private Sector,Older People Aged 65 and Older,40
2016/17,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,49
2016/17,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,49
2016/17,North Ayrshire,All Sectors,All Adults,1174
2016/17,North Ayrshire,All Sectors,Learning Disabilities,90
2016/17,North Ayrshire,All Sectors,Mental Health Problems,8
2016/17,North Ayrshire,All Sectors,Older People Aged 65 and Older,1076
2016/17,North Ayrshire,All Sectors,Other Groups,0
2016/17,North Ayrshire,All Sectors,Physical and Sensory Impairment,0
2016/17,North Ayrshire,Local Authority/Health Board Sectors,All Adults,34
2016/17,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,34
2016/17,North Ayrshire,Private Sector,All Adults,1046
2016/17,North Ayrshire,Private Sector,Older People Aged 65 and Older,974
2016/17,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,94
2016/17,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,68
2016/17,North Lanarkshire,All Sectors,All Adults,1857
2016/17,North Lanarkshire,All Sectors,Learning Disabilities,19
2016/17,North Lanarkshire,All Sectors,Mental Health Problems,80
2016/17,North Lanarkshire,All Sectors,Older People Aged 65 and Older,1711
2016/17,North Lanarkshire,All Sectors,Other Groups,21
2016/17,North Lanarkshire,All Sectors,Physical and Sensory Impairment,26
2016/17,North Lanarkshire,Local Authority/Health Board Sectors,All Adults,42
2016/17,North Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,42
2016/17,North Lanarkshire,Private Sector,All Adults,1770
2016/17,North Lanarkshire,Private Sector,Older People Aged 65 and Older,1629
2016/17,North Lanarkshire,Voluntary or Not for Profit Sector,All Adults,45
2016/17,North Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,40
2016/17,Orkney Islands,All Sectors,All Adults,120
2016/17,Orkney Islands,All Sectors,Learning Disabilities,8
2016/17,Orkney Islands,All Sectors,Mental Health Problems,0
2016/17,Orkney Islands,All Sectors,Older People Aged 65 and Older,111
2016/17,Orkney Islands,All Sectors,Other Groups,0
2016/17,Orkney Islands,All Sectors,Physical and Sensory Impairment,1
2016/17,Orkney Islands,Local Authority/Health Board Sectors,All Adults,116
2016/17,Orkney Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,111
2016/17,Orkney Islands,Private Sector,All Adults,0
2016/17,Orkney Islands,Private Sector,Older People Aged 65 and Older,0
2016/17,Orkney Islands,Voluntary or Not for Profit Sector,All Adults,4
2016/17,Orkney Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2016/17,Perth and Kinross,All Sectors,All Adults,1591
2016/17,Perth and Kinross,All Sectors,Learning Disabilities,101
2016/17,Perth and Kinross,All Sectors,Mental Health Problems,0
2016/17,Perth and Kinross,All Sectors,Older People Aged 65 and Older,1429
2016/17,Perth and Kinross,All Sectors,Other Groups,0
2016/17,Perth and Kinross,All Sectors,Physical and Sensory Impairment,61
2016/17,Perth and Kinross,Local Authority/Health Board Sectors,All Adults,84
2016/17,Perth and Kinross,Local Authority/Health Board Sectors,Older People Aged 65 and Older,84
2016/17,Perth and Kinross,Private Sector,All Adults,1250
2016/17,Perth and Kinross,Private Sector,Older People Aged 65 and Older,1197
2016/17,Perth and Kinross,Voluntary or Not for Profit Sector,All Adults,257
2016/17,Perth and Kinross,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,148
2016/17,Renfrewshire,All Sectors,All Adults,1419
2016/17,Renfrewshire,All Sectors,Learning Disabilities,27
2016/17,Renfrewshire,All Sectors,Mental Health Problems,0
2016/17,Renfrewshire,All Sectors,Older People Aged 65 and Older,1372
2016/17,Renfrewshire,All Sectors,Other Groups,0
2016/17,Renfrewshire,All Sectors,Physical and Sensory Impairment,20
2016/17,Renfrewshire,Local Authority/Health Board Sectors,All Adults,190
2016/17,Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,180
2016/17,Renfrewshire,Private Sector,All Adults,950
2016/17,Renfrewshire,Private Sector,Older People Aged 65 and Older,942
2016/17,Renfrewshire,Voluntary or Not for Profit Sector,All Adults,279
2016/17,Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,250
2016/17,Scotland,All Sectors,All Adults,40926
2016/17,Scotland,All Sectors,Learning Disabilities,1712
2016/17,Scotland,All Sectors,Mental Health Problems,1035
2016/17,Scotland,All Sectors,Older People Aged 65 and Older,37278
2016/17,Scotland,All Sectors,Other Groups,302
2016/17,Scotland,All Sectors,Physical and Sensory Impairment,599
2016/17,Scotland,Local Authority/Health Board Sectors,All Adults,4274
2016/17,Scotland,Local Authority/Health Board Sectors,Learning Disabilities,183
2016/17,Scotland,Local Authority/Health Board Sectors,Mental Health Problems,0
2016/17,Scotland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,4076
2016/17,Scotland,Local Authority/Health Board Sectors,Other Groups,0
2016/17,Scotland,Local Authority/Health Board Sectors,Physical and Sensory Impairment,15
2016/17,Scotland,Private Sector,All Adults,31483
2016/17,Scotland,Private Sector,Learning Disabilities,706
2016/17,Scotland,Private Sector,Mental Health Problems,646
2016/17,Scotland,Private Sector,Older People Aged 65 and Older,29906
2016/17,Scotland,Private Sector,Other Groups,49
2016/17,Scotland,Private Sector,Physical and Sensory Impairment,176
2016/17,Scotland,Voluntary or Not for Profit Sector,All Adults,5169
2016/17,Scotland,Voluntary or Not for Profit Sector,Learning Disabilities,823
2016/17,Scotland,Voluntary or Not for Profit Sector,Mental Health Problems,389
2016/17,Scotland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,3296
2016/17,Scotland,Voluntary or Not for Profit Sector,Other Groups,253
2016/17,Scotland,Voluntary or Not for Profit Sector,Physical and Sensory Impairment,408
2016/17,Scottish Borders,All Sectors,All Adults,739
2016/17,Scottish Borders,All Sectors,Learning Disabilities,51
2016/17,Scottish Borders,All Sectors,Mental Health Problems,0
2016/17,Scottish Borders,All Sectors,Older People Aged 65 and Older,688
2016/17,Scottish Borders,All Sectors,Other Groups,0
2016/17,Scottish Borders,All Sectors,Physical and Sensory Impairment,0
2016/17,Scottish Borders,Local Authority/Health Board Sectors,All Adults,0
2016/17,Scottish Borders,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2016/17,Scottish Borders,Private Sector,All Adults,665
2016/17,Scottish Borders,Private Sector,Older People Aged 65 and Older,665
2016/17,Scottish Borders,Voluntary or Not for Profit Sector,All Adults,74
2016/17,Scottish Borders,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,23
2016/17,Shetland Islands,All Sectors,All Adults,158
2016/17,Shetland Islands,All Sectors,Learning Disabilities,9
2016/17,Shetland Islands,All Sectors,Mental Health Problems,0
2016/17,Shetland Islands,All Sectors,Older People Aged 65 and Older,149
2016/17,Shetland Islands,All Sectors,Other Groups,0
2016/17,Shetland Islands,All Sectors,Physical and Sensory Impairment,0
2016/17,Shetland Islands,Local Authority/Health Board Sectors,All Adults,142
2016/17,Shetland Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,133
2016/17,Shetland Islands,Private Sector,All Adults,0
2016/17,Shetland Islands,Private Sector,Older People Aged 65 and Older,0
2016/17,Shetland Islands,Voluntary or Not for Profit Sector,All Adults,16
2016/17,Shetland Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,16
2016/17,South Ayrshire,All Sectors,All Adults,1197
2016/17,South Ayrshire,All Sectors,Learning Disabilities,90
2016/17,South Ayrshire,All Sectors,Mental Health Problems,0
2016/17,South Ayrshire,All Sectors,Older People Aged 65 and Older,1107
2016/17,South Ayrshire,All Sectors,Other Groups,0
2016/17,South Ayrshire,All Sectors,Physical and Sensory Impairment,0
2016/17,South Ayrshire,Local Authority/Health Board Sectors,All Adults,58
2016/17,South Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,54
2016/17,South Ayrshire,Private Sector,All Adults,983
2016/17,South Ayrshire,Private Sector,Older People Aged 65 and Older,959
